CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
,EKVX,EKVX,EKVX
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM-2,EM2,EM2
EN_ENDOMETRIUM,,EN,EN
ES2_OVARY,,ES2,ES2
,EoL-1-cell,EOL1,EOL1
,EPLC-272H,EPLC272H,EPLC272H
,ES1,,ES1
,ES3,,ES3
,ES4,,ES4
,ES5,,ES5
,ES6,,ES6
,ES7,,ES7
,ES8,,ES8
ESS1_ENDOMETRIUM,ESS-1,ESS1,ESS1
,ETK-1,,ETK1
,EVSA-T,,EVSAT
,EW-1,,EW1
,EW-11,,EW11
,EW-12,,EW12
,EW-13,,EW13
,EW-16,,EW16
,EW-18,,EW18
,EW-22,,EW22
,EW-24,,EW24
,EW-3,,EW3
,EW-7,,EW7
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,F36P,F36P
FADU_UPPER_AERODIGESTIVE_TRACT,FADU,FADU,FADU
FU97_STOMACH,,FU97,FU97
FUOV1_OVARY,,FUOV1,FUOV1
G361_SKIN,G-361,G361,G361
G401_SOFT_TISSUE,G-401,G401,G401
G402_SOFT_TISSUE,G-402,G402,G402
,GAK,,GAK
GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG,GAMG,GAMG
GB1_CENTRAL_NERVOUS_SYSTEM,GB-1,GB1,GB1
GCIY_STOMACH,GCIY,,GCIY
GCT_SOFT_TISSUE,GCT,GCT,GCT
,GDM-1,GDM1,GDM1
GI1_CENTRAL_NERVOUS_SYSTEM,GI-1,GI1,GI1
GLC82_LUNG,,,GLC82
,GI-ME-N,,GIMEN
GMS10_CENTRAL_NERVOUS_SYSTEM,GMS-10,GMS10,GMS10
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,GRANTA519,GRANTA519
,GOTO,,GOTO
,GP5d,,GP5d
,GR-ST,,GRST
,GT3TKB,,GT3TKB
,H-EMC-SS,,HEMCSS
H4_CENTRAL_NERVOUS_SYSTEM,H4,,H4
HARA_LUNG,,HARA,HARA
,H9,,H9
,HAL-01,,HAL01
,HC-1,,HC1
,HCC1143,HCC1143,HCC1143
HCC1187_BREAST,HCC1187,,HCC1187
HCC1395_BREAST,HCC1395,HCC1395,HCC1395
HCC15_LUNG,,HCC15,HCC15
,HCC1419,HCC1419,HCC1419
HCC1569_BREAST,HCC1569,HCC1569,HCC1569
,HCC1599,,HCC1599
HCC1806_BREAST,HCC1806,HCC1806,HCC1806
,HCC1937,HCC1937,HCC1937
HCC1954_BREAST,HCC1954,HCC1954,HCC1954
,HCC2157,,HCC2157
HCC2935_LUNG,,HCC2935,HCC2935
HCC4006_LUNG,,HCC4006,HCC4006
HCC44_LUNG,,HCC44,HCC44
HCC56_LARGE_INTESTINE,,HCC56,HCC56
,HCC2218,HCC2218,HCC2218
,HCC2998,,HCC2998
,HCC38,HCC38,HCC38
HCC70_BREAST,HCC70,,HCC70
HCC78_LUNG,,HCC78,HCC78
HCC827_LUNG,,HCC827,HCC827
,HCE-4,,HCE4
HCT116_LARGE_INTESTINE,HCT-116,HCT116,HCT116
HCT15_LARGE_INTESTINE,HCT-15,HCT15,HCT15
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HD-MY-Z,HDMYZ,HDMYZ
HDQP1_BREAST,,HDQP1,HDQP1
HEC151_ENDOMETRIUM,,HEC151,HEC151
HEC1A_ENDOMETRIUM,,HEC1A,HEC1A
HEC1B_ENDOMETRIUM,,HEC1B,HEC1B
HEC251_ENDOMETRIUM,,HEC251,HEC251
HEC265_ENDOMETRIUM,,HEC265,HEC265
HEC59_ENDOMETRIUM,,HEC59,HEC59
HEC6_ENDOMETRIUM,,HEC6,HEC6
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,HEL9217,HEL9217
HEP3B217_LIVER,,HEP3B217,HEP3B217
HEPG2_LIVER,,HEPG2,HEPG2
HEYA8_OVARY,,HEYA8,HEYA8
,HDLM-2,HDLM2,HDLM2
,HEC-1,,HEC1
,HEL,HEL,HEL
HGC27_STOMACH,HGC-27,HGC27,HGC27
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,HH,HH
,HL-60,HL60,HL60
HLE_LIVER,HLE,,HLE
HLF_LIVER,,HLF,HLF
HMC18_BREAST,,HMC18,HMC18
HMCB_SKIN,,HMCB,HMCB
,HMV-II,,HMVII
,HN,,HN
,HO-1-N-1,,HO1N1
,HOP-62,HOP62,HOP62
,HOP-92,HOP92,HOP92
HOS_BONE,HOS,HOS,HOS
HPAC_PANCREAS,,HPAC,HPAC
HPAFII_PANCREAS,HPAF-II,HPAFII,HPAFII
HS229T_LUNG,,,HS229T
HS294T_SKIN,,HS294T,HS294T
HS578T_BREAST,Hs-578-T,HS578T,HS578T
HS683_CENTRAL_NERVOUS_SYSTEM,,HS683,HS683
HS695T_SKIN,,,HS695T
HS729_SOFT_TISSUE,,HS729,HS729
HS739T_BREAST,,,HS739T
HS746T_STOMACH,,HS746T,HS746T
HS766T_PANCREAS,,HS766T,HS766T
HS840T_UPPER_AERODIGESTIVE_TRACT,,,HS840T
HS852T_SKIN,,HS852T,HS852T
HS895T_SKIN,,HS895T,HS895T
HS936T_SKIN,,HS936T,HS936T
HS939T_SKIN,,,HS939T
HS944T_SKIN,,HS944T,HS944T
HSC2_UPPER_AERODIGESTIVE_TRACT,HSC-2,HSC2,HSC2
,HSC-3,HSC3,HSC3
,HSC-4,HSC4,HSC4
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT,HT,HT
HT1080_SOFT_TISSUE,HT-1080,HT1080,HT1080
HT1197_URINARY_TRACT,HT-1197,HT1197,HT1197
HT1376_URINARY_TRACT,HT-1376,HT1376,HT1376
HT144_SKIN,HT-144,HT144,HT144
HT29_LARGE_INTESTINE,HT-29,HT29,HT29
,HT-3,,HT3
,HT55,HT55,HT55
,HTC-C3,,HTCC3
HUCCT1_BILIARY_TRACT,HuCCT1,HUCCT1,HUCCT1
