lineage_name	cell_line_name	accession_id	synonym_names	CCLE_Name	gdsc_id	nci_taxonomy_id	doid	doid_heiarchy	Broad_ID	broad_id_alt	grouped_general_doid	group_general_lineage_name
57	astrocytoma	LNZTA3WT4	CVCL_3540	['LNZTA3p53WT4', 'WT4']	LNZTA3WT4_NERVOUS_SYSTEM	1240170	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002269		DOID:3620	central nervous system cancer
58	astrocytoma	SW1088	CVCL_1715	['SW-1088', 'SW1088']	SW1088_CENTRAL_NERVOUS_SYSTEM	909745	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000437		DOID:3620	central nervous system cancer
59	astrocytoma	SK-MG-1	CVCL_1698	['SKMG1', 'AJ']	SKMG1_NERVOUS_SYSTEM	909729	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002304		DOID:3620	central nervous system cancer
60	astrocytoma	CCF-STTG1	CVCL_1118	['CCFSTTG1', 'STTG1']	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	906823	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000329		DOID:3620	central nervous system cancer
61	astrocytoma	H4	CVCL_1239	['H-4']	H4_CENTRAL_NERVOUS_SYSTEM	907042	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000389		DOID:3620	central nervous system cancer
62	astrocytoma	LN-235	CVCL_3957	['LN235', 'LN235']	LN235_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000591		DOID:3620	central nervous system cancer
63	astrocytoma	Becker	CVCL_1093	['BECKER', 'AK']	BECKER_CENTRAL_NERVOUS_SYSTEM	906746	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001016		DOID:3620	central nervous system cancer
64	astrocytoma	SNB-19	CVCL_0535	['SNB.19', 'SNB19']	SNB19_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001198		DOID:3620	central nervous system cancer
65	astrocytoma	U-251MG	CVCL_0021	['U-251MG', 'U-251-MG', 'U-251_MG', 'U251-MG', 'U251MG', 'U-251', 'U251', 'U251n', 'U251N', '251MG', '251MG']	U251MG_CENTRAL_NERVOUS_SYSTEM	905983	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000232		DOID:3620	central nervous system cancer
66	astrocytoma	U-138MG	CVCL_0020	['U-138MG', 'U-138-MG', 'U138-MG', 'U138MG', 'U138MG', 'U138', '138MG', '138MG']	U138MG_CENTRAL_NERVOUS_SYSTEM	NA	C60781	DOID:3069	[u'DOID:3069', u'DOID:3070', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001214		DOID:3620	central nervous system cancer
