"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"1181","ACH-001354","LAN2","LAN2_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1182","ACH-001355","LAN6","LAN6_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1183","ACH-001356","MB1","MB1_THYROID","thyroid","thyroid"
"1184","ACH-001357","MCF10A","MCF10A_BREAST","breast","breast"
"1185","ACH-001358","MDAMB330","MDAMB330_BREAST","breast","breast"
"1186","ACH-001359","ME180","ME180_CERVIX","cervix","cervix"
"1187","ACH-001360","MS751","MS751_CERVIX","cervix","cervix"
"1188","ACH-001362","NCIH1770","NCIH1770_LUNG","lung","lung"
"1189","ACH-001363","NCIH2135","NCIH2135_LUNG","lung","lung"
"1190","ACH-001364","NCIH345","NCIH345_LUNG","lung","lung"
"1191","ACH-001365","NCIH847","NCIH847_LUNG","lung","lung"
