"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"322","ACH-000321","MOLM6","haematopoietic_and_lymphoid_tissue","MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"323","ACH-000322","HT144","skin","HT144_SKIN","skin","SKCM","DOID:4159"
"324","ACH-000323","42MGBA","central_nervous_system","42MGBA_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"325","ACH-000324","JHOC5","ovary","JHOC5_OVARY","ovary","OV","DOID:2394"
"326","ACH-000325","SNU620","stomach","SNU620_STOMACH","gastric","STAD","DOID:10534"
"327","ACH-000326","JURLMK1","haematopoietic_and_lymphoid_tissue","JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"328","ACH-000327","NCIH1395","lung","NCIH1395_LUNG","lung","LUAD","DOID:1324"
"329","ACH-000328","LN215","central_nervous_system","LN215_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"330","ACH-000329","CCFSTTG1","central_nervous_system","CCFSTTG1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"331","ACH-000330","EFM19","breast","EFM19_BREAST","breast","BRCA","DOID:1612"
"332","ACH-000331","ISTMES2","pleura","ISTMES2_PLEURA","mesothelioma","MESO","DOID:1790"
"333","ACH-000332","YAPC","pancreas","YAPC_PANCREAS","pancreas","PAAD","DOID:1793"
"334","ACH-000333","JHOM2B","ovary","JHOM2B_OVARY","ovary","OV","DOID:2394"
"335","ACH-000334","DB","haematopoietic_and_lymphoid_tissue","DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"336","ACH-000335","MSTO211H","pleura","MSTO211H_PLEURA","mesothelioma","MESO","DOID:1324"
"337","ACH-000336","OCIAML3","haematopoietic_and_lymphoid_tissue","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"338","ACH-000337","NCIH3122","lung","NCIH3122_LUNG","lung","LUAD","DOID:1324"
"339","ACH-000338","SR786","haematopoietic_and_lymphoid_tissue","SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid",NA,"DOID:1240"
"340","ACH-000339","HCC461","lung","HCC461_LUNG","lung","LUAD","DOID:1324"
"341","ACH-000340","HS870T","fibroblast","HS870T_FIBROBLAST","fibroblast","SARC","DOID:184"
"342","ACH-000341","SKNFI","autonomic_ganglia","SKNFI_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"343","ACH-000342","CL14","large_intestine","CL14_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"344","ACH-000343","NCIH522","lung","NCIH522_LUNG","lung","LUAD","DOID:1324"
"345","ACH-000344","SNU668","stomach","SNU668_STOMACH","gastric","STAD","DOID:10534"
